qno,Questions,new_paratext
233,Why is it fortunate that your sister just made a simple mixture?,"['   it a good thing Your younger sister did not toss them into the fireplace', 'Oh no!   Your younger sister just mixed up all of your LEGO parts', '    That would have caused a chemical change as they all melted together', '   What do you think you could have called the mess Your younger sister created?   Thats right, it is a mixture', '   Fortunately, it was a physical change and Your younger sister just made a simple mixture']"
234,Why do you have to sort your LEGOs and put them in the tray?,"['   it a good thing Your younger sister did not toss them into the fireplace', 'Oh no!   Your younger sister just mixed up all of your LEGO parts', '   Now you have to put them all back into the original categories', '   How will you do this?   You sort them all by size and shape until them all are each back into them all specific place in the tray', '   What do you think you could have called the mess Your younger sister created?   Thats right, it is a mixture', '    If your LEGOs were melted, you would be out of luck for building that next big project', '   You are able to separate them back into order']"
235,What is a simple mixture?,"['   it a good thing Your younger sister did not toss them into the fireplace', 'Oh no!   Your younger sister just mixed up all of your LEGO parts', '   Now you have to put them all back into the original categories', '    That would have caused a chemical change as they all melted together', '   What do you think you could have called the mess Your younger sister created?   Thats right, it is a mixture', '    If your LEGOs were melted, you would be out of luck for building that next big project', '   You are able to separate them back into order', '   Fortunately, it was a physical change and Your younger sister just made a simple mixture']"
236,What would be an irreversible mixture?,"['   it a good thing Your younger sister did not toss them into the fireplace', 'Oh no!   Your younger sister just mixed up all of your LEGO parts', '   How will you do this?   You sort them all by size and shape until them all are each back into them all specific place in the tray', '    That would have caused a chemical change as they all melted together', '   What do you think you could have called the mess Your younger sister created?   Thats right, it is a mixture', '    If your LEGOs were melted, you would be out of luck for building that next big project', '   You are able to separate them back into order', '   Fortunately, it was a physical change and Your younger sister just made a simple mixture']"
237,What could your sister have done to cause a chemical change in the LEGOS?,"['   it a good thing Your younger sister did not toss them into the fireplace', 'Oh no!   Your younger sister just mixed up all of your LEGO parts', '    That would have caused a chemical change as they all melted together', '   What do you think you could have called the mess Your younger sister created?   Thats right, it is a mixture', '    If your LEGOs were melted, you would be out of luck for building that next big project', '   Fortunately, it was a physical change and Your younger sister just made a simple mixture']"
238,what happened by Tossing the LEGOs in the fireplace ?,"['   it a good thing Your younger sister did not toss them into the fireplace', 'Oh no!   Your younger sister just mixed up all of your LEGO parts', '    That would have caused a chemical change as they all melted together', '    If your LEGOs were melted, you would be out of luck for building that next big project', '   Fortunately, it was a physical change and Your younger sister just made a simple mixture']"
239,what needs to be sorted by size and shape?,"['Oh no!   Your younger sister just mixed up all of your LEGO parts', '   Now you have to put them all back into the original categories', '   How will you do this?   You sort them all by size and shape until them all are each back into them all specific place in the tray', '    That would have caused a chemical change as they all melted together', '    If your LEGOs were melted, you would be out of luck for building that next big project', '   You are able to separate them back into order']"
240,What is a mixture?,"['   it a good thing Your younger sister did not toss them into the fireplace', 'Oh no!   Your younger sister just mixed up all of your LEGO parts', '   Now you have to put them all back into the original categories', '    That would have caused a chemical change as they all melted together', '   What do you think you could have called the mess Your younger sister created?   Thats right, it is a mixture', '    If your LEGOs were melted, you would be out of luck for building that next big project', '   You are able to separate them back into order', '   Fortunately, it was a physical change and Your younger sister just made a simple mixture']"
241,Why  the mixing of LEGOS is  reversible?,"['Oh no!   Your younger sister just mixed up all of your LEGO parts', '   Now you have to put them all back into the original categories', '    That would have caused a chemical change as they all melted together', '   What do you think you could have called the mess Your younger sister created?   Thats right, it is a mixture', '    If your LEGOs were melted, you would be out of luck for building that next big project', '   You are able to separate them back into order', '   Fortunately, it was a physical change and Your younger sister just made a simple mixture']"
242,What would have happened if your sister had thrown your LEGOs into the fireplace?,"['   it a good thing Your younger sister did not toss them into the fireplace', 'Oh no!   Your younger sister just mixed up all of your LEGO parts', '    That would have caused a chemical change as they all melted together', '   What do you think you could have called the mess Your younger sister created?   Thats right, it is a mixture', '    If your LEGOs were melted, you would be out of luck for building that next big project', '   Fortunately, it was a physical change and Your younger sister just made a simple mixture']"
243,who created the mixture in this passage?,"['   it a good thing Your younger sister did not toss them into the fireplace', 'Oh no!   Your younger sister just mixed up all of your LEGO parts', '   Now you have to put them all back into the original categories', '    That would have caused a chemical change as they all melted together', '   What do you think you could have called the mess Your younger sister created?   Thats right, it is a mixture', '   You are able to separate them back into order', '   Fortunately, it was a physical change and Your younger sister just made a simple mixture']"
244,What do you have to put back into the original categories?,"['   it a good thing Your younger sister did not toss them into the fireplace', 'Oh no!   Your younger sister just mixed up all of your LEGO parts', '   Now you have to put them all back into the original categories', '   How will you do this?   You sort them all by size and shape until them all are each back into them all specific place in the tray', '    That would have caused a chemical change as they all melted together', '   What do you think you could have called the mess Your younger sister created?   Thats right, it is a mixture', '    If your LEGOs were melted, you would be out of luck for building that next big project', '   You are able to separate them back into order', '   Fortunately, it was a physical change and Your younger sister just made a simple mixture']"
245,What is created by your sister ?,"['   it a good thing Your younger sister did not toss them into the fireplace', 'Oh no!   Your younger sister just mixed up all of your LEGO parts', '    That would have caused a chemical change as they all melted together', '   What do you think you could have called the mess Your younger sister created?   Thats right, it is a mixture', '    If your LEGOs were melted, you would be out of luck for building that next big project', '   Fortunately, it was a physical change and Your younger sister just made a simple mixture']"
246,What is the mess your sister made with the LEGOs?,"['   it a good thing Your younger sister did not toss them into the fireplace', 'Oh no!   Your younger sister just mixed up all of your LEGO parts', '   What do you think you could have called the mess Your younger sister created?   Thats right, it is a mixture', '    If your LEGOs were melted, you would be out of luck for building that next big project', '   Fortunately, it was a physical change and Your younger sister just made a simple mixture']"
247,What are the things scientists learn from fossils?,"['   Fossils tell us that life on Earth has changed over time', '   Fossils provide evidence about life on Earth', '   Fossils in older rocks can tell us about where the organism lived', '   Fossils are our best clues about the history of life on Earth', '   Only a tiny number of many organisms that have lived in Earths past became fossils', '    Fossils can even provide clues to ancient climates', '   Still, scientists learn a lot from fossils']"
248,What happened to some organisms that lived in Earth's past?,"['   Fossils tell us that life on Earth has changed over time', '   Fossils in older rocks can tell us about where the organism lived', 'There have been many organisms that have lived in Earths past', '   Only a tiny number of many organisms that have lived in Earths past became fossils', '   Fossils in older rocks are less like living organisms']"
249,What are some things that Fossils can tell us?,"['   Fossils tell us that life on Earth has changed over time', '   Fossils in older rocks can tell us about where the organism lived', '   Fossils provide evidence about life on Earth', '   Fossils are our best clues about the history of life on Earth', '   Only a tiny number of many organisms that have lived in Earths past became fossils', '    Fossils can even provide clues to ancient climates', '   Still, scientists learn a lot from fossils']"
250,Why do fossils differ from younger rocks to older rocks?,"['   Fossils tell us that life on Earth has changed over time', '   Fossils in older rocks can tell us about where the organism lived', '   Fossils in younger rocks look like animals and plants that are living today', '   Fossils in older rocks are less like living organisms', '   Only a tiny number of many organisms that have lived in Earths past became fossils', '    Fossils can even provide clues to ancient climates']"
251,Which of the item provides information about the history of life on Earth  and can offer clues to climate change?,"['   Fossils tell us that life on Earth has changed over time', '   Fossils provide evidence about life on Earth', '   Fossils in older rocks can tell us about where the organism lived', 'There have been many organisms that have lived in Earths past', '   Fossils are our best clues about the history of life on Earth', '    Fossils can even provide clues to ancient climates', '   Still, scientists learn a lot from fossils']"
252,What is the  transfer of thermal energy in a fluid is called?,"['Conduction is the transfer of thermal energy', '   Convection is the transfer of thermal energy', '    loops are called convection currents', '    When These waves reach objects, the heat is transferred to the objects', '    Radiation is the transfer of thermal energy by waves', '   The particles within the fluid transfer energy by moving from warmer to cooler areas', '   Thermal conductors are materials that are good conductors of heat']"
253,Which of the  following transfer through empty space?,"['Conduction is the transfer of thermal energy', '   Thermal insulators are materials that are poor conductors of heat', '   Convection is the transfer of thermal energy', '    loops are called convection currents', '   Conduction occurs between objects or substances that are touching', '    These waves can travel through empty space', '    When These waves reach objects, the heat is transferred to the objects', '    Radiation is the transfer of thermal energy by waves', '   The particles within the fluid transfer energy by moving from warmer to cooler areas', '    Radiation is how the Sun warms the Earths surface']"
254,What is radiation ?,"['Conduction is the transfer of thermal energy', '   Thermal insulators are materials that are poor conductors of heat', '   Convection is the transfer of thermal energy', '   Conduction occurs between objects or substances that are touching', '    These waves can travel through empty space', '    When These waves reach objects, the heat is transferred to the objects', '   This occurs as particles move within a fluid', '    Radiation is the transfer of thermal energy by waves', '   Thermal conductors are materials that are good conductors of heat', '    Radiation is how the Sun warms the Earths surface']"
255,Which of the following is good conductors of heat?,"['Conduction is the transfer of thermal energy', '   Thermal insulators are materials that are poor conductors of heat', '   Convection is the transfer of thermal energy', '   Conduction occurs between objects or substances that are touching', '   Thermal conductors have important uses', '   Thermal conductors are materials that are good conductors of heat']"
256,What is the transfer between 2 touching objects?,"['    Radiation is how the Sun warms the Earths surface', 'Conduction is the transfer of thermal energy', '   Thermal insulators are materials that are poor conductors of heat', '   Convection is the transfer of thermal energy', '   Conduction occurs between objects or substances that are touching', '    When These waves reach objects, the heat is transferred to the objects', '   This occurs as particles move within a fluid', '    Radiation is the transfer of thermal energy by waves', '   The particles within the fluid transfer energy by moving from warmer to cooler areas', '   Thermal conductors are materials that are good conductors of heat']"
257,Where does conduction take place ?,"['    Radiation is how the Sun warms the Earths surface', 'Conduction is the transfer of thermal energy', '   Thermal insulators are materials that are poor conductors of heat', '    loops are called convection currents', '   Conduction occurs between objects or substances that are touching', '    These waves can travel through empty space', '    When These waves reach objects, the heat is transferred to the objects', '   This occurs as particles move within a fluid', '   The particles within the fluid transfer energy by moving from warmer to cooler areas', '   Thermal conductors are materials that are good conductors of heat']"
258,what is the  direction of the particles during Convection?,"['Conduction is the transfer of thermal energy', '   Convection is the transfer of thermal energy', '    loops are called convection currents', '   This occurs as particles move within a fluid', '   The particles within the fluid transfer energy by moving from warmer to cooler areas']"
259,What is an example of radiant heat?,"['Conduction is the transfer of thermal energy', '   Convection is the transfer of thermal energy', '    When These waves reach objects, the heat is transferred to the objects', '    Radiation is the transfer of thermal energy by waves', '   Thermal conductors are materials that are good conductors of heat', '    Radiation is how the Sun warms the Earths surface']"
260,Where does the  convection Occur?,"['Conduction is the transfer of thermal energy', '   Convection is the transfer of thermal energy', '    loops are called convection currents', '    These waves can travel through empty space', '    When These waves reach objects, the heat is transferred to the objects', '   This occurs as particles move within a fluid', '    Radiation is the transfer of thermal energy by waves', '   The particles within the fluid transfer energy by moving from warmer to cooler areas', '   a fluid may be a liquid or a gas']"
261,What is the difference between a thermal conductor and a thermal insulator?,"['Conduction is the transfer of thermal energy', '   Thermal insulators are materials that are poor conductors of heat', '   Convection is the transfer of thermal energy', '   Conduction occurs between objects or substances that are touching', '   Thermal conductors have important uses', '   Thermal conductors are materials that are good conductors of heat']"
262,What is the process where particles move within the fluid and transfer thermal energy?,"['Conduction is the transfer of thermal energy', '   Convection is the transfer of thermal energy', '    loops are called convection currents', '   Conduction occurs between objects or substances that are touching', '    When These waves reach objects, the heat is transferred to the objects', '   This occurs as particles move within a fluid', '    Radiation is the transfer of thermal energy by waves', '   The particles within the fluid transfer energy by moving from warmer to cooler areas', '   Thermal conductors are materials that are good conductors of heat']"
263,How do particles move within a fluid?,"['Conduction is the transfer of thermal energy', '   Convection is the transfer of thermal energy', '   Conduction occurs between objects or substances that are touching', '    These waves can travel through empty space', '    When These waves reach objects, the heat is transferred to the objects', '   This occurs as particles move within a fluid', '   The particles within the fluid transfer energy by moving from warmer to cooler areas', '   a fluid may be a liquid or a gas']"
264,What occurs as particles move within a fluid?,"['Conduction is the transfer of thermal energy', '   Convection is the transfer of thermal energy', '   Conduction occurs between objects or substances that are touching', '    These waves can travel through empty space', '    When These waves reach objects, the heat is transferred to the objects', '   This occurs as particles move within a fluid', '    Radiation is the transfer of thermal energy by waves', '   The particles within the fluid transfer energy by moving from warmer to cooler areas', '   a fluid may be a liquid or a gas', '    Radiation is how the Sun warms the Earths surface']"
265,what should be used for convection to happen?,"['Conduction is the transfer of thermal energy', '   Thermal insulators are materials that are poor conductors of heat', '   Convection is the transfer of thermal energy', '    loops are called convection currents', '   Thermal conductors have important uses', '   The particles within the fluid transfer energy by moving from warmer to cooler areas', '   Thermal conductors are materials that are good conductors of heat']"
266,What do you apply to an object to make it move or stop?,"['    How much an objects motion changes when a force is applied depends on the strength of Force', '   In what ways can this happen?   Force can cause an object at rest to start moving', '    We know that changes in motion require a force', '   Any time an object changes motion, Force has been applied', '    This requires only a very small force', '   Forces can cause a moving object to stop', '   The moving object may change The moving object speed, The moving object direction, or both', 'What causes a change in motion?   The application of a force']"
267,What factors cause changes in motion of a moving object?,"['   In short, forces cause changes in motion', '    We know that changes in motion require a force', '    How much an objects motion changes when a force is applied depends on two things', '    How much an objects motion changes when a force is applied also depends on the objects mass', '   Any time an object changes motion, Force has been applied', '   The moving object may change The moving object speed, The moving object direction, or both', 'What causes a change in motion?   The application of a force']"
268,What does the Earth's tilt mean?,"['   This means that as The Earth rotates, one hemisphere has longer days with shorter nights', '    At the equator, the seasons never change', '   As The Earth orbits the Sun, the Northern Hemisphere goes from winter to spring, then summer and fall', '   This is the longest day and shortest night of the year in the Northern Hemisphere', '   At the same time the other hemisphere has shorter days and longer nights', 'The Earth is tilted 23/2 on The Earth axis', '   the Northern Hemisphere does the opposite from summer to fall to winter to spring', '   the North Pole is pointed The hemisphere that is tilted away from the Sun the Sun is cooler because the North Pole receives fewer direct rays']"
269,What happens on June 21 in the Northern Hemisphere?,"['   This means that as The Earth rotates, one hemisphere has longer days with shorter nights', '   As The Earth orbits the Sun, the Northern Hemisphere goes from winter to spring, then summer and fall', '   This is the longest day and shortest night of the year in the Northern Hemisphere', '   At the same time the other hemisphere has shorter days and longer nights', '   For example, in the Northern hemisphere summer begins on June 21', '   the Northern Hemisphere does the opposite from summer to fall to winter to spring', '   When it is winter in the Northern hemisphere, it is summer in the Southern hemisphere, and vice versa', '    There is no summer and winter as we know them']"
270,What happens at the equator?,"['   This means that as The Earth rotates, one hemisphere has longer days with shorter nights', '    At the equator, the seasons never change', '   As The Earth orbits the Sun, the Northern Hemisphere goes from winter to spring, then summer and fall', '   This is the longest day and shortest night of the year in the Northern Hemisphere', '   At the same time the other hemisphere has shorter days and longer nights', '   For example, in the Northern hemisphere summer begins on June 21', '   the Northern Hemisphere does the opposite from summer to fall to winter to spring', '   When it is winter in the Northern hemisphere, it is summer in the Southern hemisphere, and vice versa', '    There is no summer and winter as we know them']"
271,Which season begins for the Northern hemisphere when the North Pole is pointed directly toward the Sun?,"['   On this date, the North Pole is pointed directly toward the Sun', '   As The Earth orbits the Sun, the Northern Hemisphere goes from winter to spring, then summer and fall', '   For example, in the Northern hemisphere summer begins on June 21', '   the Northern Hemisphere does the opposite from summer to fall to winter to spring', '   When it is winter in the Northern hemisphere, it is summer in the Southern hemisphere, and vice versa', '   the North Pole is pointed The hemisphere that is tilted away from the Sun the Sun is cooler because the North Pole receives fewer direct rays']"
272,Why one hemisphere (either northern or southern) would have longer days and shorter nights than its opposite hemisphere?,"['   This means that as The Earth rotates, one hemisphere has longer days with shorter nights', '   This is the longest day and shortest night of the year in the Northern Hemisphere', '   At the same time the other hemisphere has shorter days and longer nights', '   the Northern Hemisphere does the opposite from summer to fall to winter to spring', '   When it is winter in the Northern hemisphere, it is summer in the Southern hemisphere, and vice versa']"
273,What is the season in southern Australia while North America is undergoing winter?,"['    At the equator, the seasons never change', '   As The Earth orbits the Sun, the Northern Hemisphere goes from winter to spring, then summer and fall', '   For example, in the Northern hemisphere summer begins on June 21', '   the Northern Hemisphere does the opposite from summer to fall to winter to spring', '   When it is winter in the Northern hemisphere, it is summer in the Southern hemisphere, and vice versa', '    There is no summer and winter as we know them', '    If you travelled to Southern Australia, you would need a heavy coat']"
274,Where does the average temperature remain the same on  Earth?,"['    At the equator, the seasons never change', '   As The Earth orbits the Sun, the Northern Hemisphere goes from winter to spring, then summer and fall', '   At the same time the other hemisphere has shorter days and longer nights', '   the Northern Hemisphere does the opposite from summer to fall to winter to spring', '   the North Pole is pointed The hemisphere that is tilted away from the Sun the Sun is cooler because the North Pole receives fewer direct rays', '    As a result, the average daily temperatures remain the same']"
275,Why does one hemisphere have shorter day and longer nights as the earth rotates?,"['   This means that as The Earth rotates, one hemisphere has longer days with shorter nights', '    At the equator, the seasons never change', '   As The Earth orbits the Sun, the Northern Hemisphere goes from winter to spring, then summer and fall', '   This is the longest day and shortest night of the year in the Northern Hemisphere', '   At the same time the other hemisphere has shorter days and longer nights', '   the Northern Hemisphere does the opposite from summer to fall to winter to spring', '   the North Pole is pointed The hemisphere that is tilted away from the Sun the Sun is cooler because the North Pole receives fewer direct rays']"
276,When does the North Pole point directly at the sun?,"['    What does this mean for you?    If you live in North America, July   is usually a very warm day', '   On this date, the North Pole is pointed directly toward the Sun', '   As The Earth orbits the Sun, the Northern Hemisphere goes from winter to spring, then summer and fall', '    At the equator, the seasons never change', '   This is the longest day and shortest night of the year in the Northern Hemisphere', 'The Earth is tilted 23/2 on The Earth axis', '   At the same time the other hemisphere has shorter days and longer nights', '   For example, in the Northern hemisphere summer begins on June 21', '   the Northern Hemisphere does the opposite from summer to fall to winter to spring', '   the North Pole is pointed The hemisphere that is tilted away from the Sun the Sun is cooler because the North Pole receives fewer direct rays']"
277,Which day is longest day and shortest night of the year in the Northern Hemisphere?,"['   This means that as The Earth rotates, one hemisphere has longer days with shorter nights', '    What does this mean for you?    If you live in North America, July   is usually a very warm day', '   This is the longest day and shortest night of the year in the Northern Hemisphere', '   At the same time the other hemisphere has shorter days and longer nights', '   For example, in the Northern hemisphere summer begins on June 21', '   the Northern Hemisphere does the opposite from summer to fall to winter to spring']"
278,Where on earth do the average daily temperatures remain the same?,"['   This means that as The Earth rotates, one hemisphere has longer days with shorter nights', '    At the equator, the seasons never change', '   On this date, the North Pole is pointed directly toward the Sun', '    What does this mean for you?    If you live in North America, July   is usually a very warm day', '   At the same time the other hemisphere has shorter days and longer nights', '   the Northern Hemisphere does the opposite from summer to fall to winter to spring', '   the North Pole is pointed The hemisphere that is tilted away from the Sun the Sun is cooler because the North Pole receives fewer direct rays', '    As a result, the average daily temperatures remain the same', '    If you travelled to Southern Australia, you would need a heavy coat']"
279,Which place on earth has no summer or winter?,"['    At the equator, the seasons never change', '   As The Earth orbits the Sun, the Northern Hemisphere goes from winter to spring, then summer and fall', '   For example, in the Northern hemisphere summer begins on June 21', '   the Northern Hemisphere does the opposite from summer to fall to winter to spring', '   When it is winter in the Northern hemisphere, it is summer in the Southern hemisphere, and vice versa', '   the North Pole is pointed The hemisphere that is tilted away from the Sun the Sun is cooler because the North Pole receives fewer direct rays', '    There is no summer and winter as we know them', '    If you travelled to Southern Australia, you would need a heavy coat']"
280,Why do the hemispheres experience different lengths days and nights?,"['   This means that as The Earth rotates, one hemisphere has longer days with shorter nights', '    At the equator, the seasons never change', '   This is the longest day and shortest night of the year in the Northern Hemisphere', '   At the same time the other hemisphere has shorter days and longer nights', '   the Northern Hemisphere does the opposite from summer to fall to winter to spring']"
281,Why seasons do not change at the equator ?,"['    At the equator, the seasons never change', '   As The Earth orbits the Sun, the Northern Hemisphere goes from winter to spring, then summer and fall', '   At the same time the other hemisphere has shorter days and longer nights', '   the Northern Hemisphere does the opposite from summer to fall to winter to spring', '   When it is winter in the Northern hemisphere, it is summer in the Southern hemisphere, and vice versa']"
282,How can strong winds cause abrasion?,"['   Rocks may roll downhill or fall off a cliff', '    The wind carries sediment', '    sediment is thrown against other rocky surfaces by The wind', '   As Rocks roll down a hill, Rocks bump into each other', '    Rocks are bounced along the bottom and bump against one another', '    sediment is like sand-blasting a rock', '   With abrasion, one rock or piece of sediment bumps against another rock', '   Like ice wedging, abrasion does not change the rock into another type of rock', 'Abrasion is another type of weathering', '    Strong winds cause abrasion']"
283,What is weathering?,"['    The wind carries sediment', '    sediment is thrown against other rocky surfaces by The wind', '   Like ice wedging, it is a form of mechanical weathering', '    As Rocks collide, Rocks begin to chip away at each other', '    sediment is like sand-blasting a rock', '   Like ice wedging, abrasion does not change the rock into another type of rock', 'Abrasion is another type of weathering', '    Strong winds cause abrasion']"
284,What happens to the shape of the rocks that collide ?,"['    Angular rocks become more rounded with each collision', '   As Rocks roll down a hill, Rocks bump into each other', '    As Rocks collide, Rocks begin to chip away at each other', '    Rocks are bounced along the bottom and bump against one another', '   With abrasion, one rock or piece of sediment bumps against another rock']"
285,How does sediment affect rock surfaces?,"['   Gravity can cause rocks to move', '   Like ice wedging, it is a form of mechanical weathering', '   As Rocks roll down a hill, Rocks bump into each other', '    Rocks are bounced along the bottom and bump against one another', '    sediment is like sand-blasting a rock', '   Like ice wedging, abrasion does not change the rock into another type of rock', '   With abrasion, one rock or piece of sediment bumps against another rock', '   Maybe a moving rock hits a rock that is not moving at the bottom of a hill', 'Abrasion is another type of weathering', '    Strong winds cause abrasion']"
286,What forces cause rocks to move?,"['   Rocks may roll downhill or fall off a cliff', '   Gravity can cause rocks to move', '    The wind carries sediment', '   Rocks dont normally roll around on Rocks own, so why do Rocks move?   There are a couple of reasons a rock may move', '    sediment is thrown against other rocky surfaces by The wind', '   As Rocks roll down a hill, Rocks bump into each other', '    Rocks are bounced along the bottom and bump against one another', '    sediment is like sand-blasting a rock', '    Moving water causes rocks and sediment to move', '   Maybe a moving rock hits a rock that is not moving at the bottom of a hill']"
287,What types of movement happen in rocks with gravity?,"['   Rocks may roll downhill or fall off a cliff', '   Gravity can cause rocks to move', '    The wind carries sediment', '   Rocks dont normally roll around on Rocks own, so why do Rocks move?   There are a couple of reasons a rock may move', '    sediment is thrown against other rocky surfaces by The wind', '   As Rocks roll down a hill, Rocks bump into each other', '    As Rocks collide, Rocks begin to chip away at each other', '    Rocks are bounced along the bottom and bump against one another', '   Maybe a moving rock hits a rock that is not moving at the bottom of a hill', '    Strong winds cause abrasion']"
288,What causes rocks to move?,"['   Rocks may roll downhill or fall off a cliff', '   Gravity can cause rocks to move', '    The wind carries sediment', '   Rocks dont normally roll around on Rocks own, so why do Rocks move?   There are a couple of reasons a rock may move', '    sediment is thrown against other rocky surfaces by The wind', '   As Rocks roll down a hill, Rocks bump into each other', '    Rocks are bounced along the bottom and bump against one another', '    sediment is like sand-blasting a rock', '    Moving water causes rocks and sediment to move']"
289,What is an example of reflection reversal?,"['   your right hand do you think the reflection will wave back with?    The same hand?    A different hand?    You will notice something interesting', '    The image in a reflection is reversed', '   Wave to your reflection with your right hand', '    The reflections are reversed', '    The reflection waves back with A different hand?     on the same side as you, but it is their left hand', '   Have you ever waved at your reflection in a mirror?   The reflected image will wave back at you']"
290,What happens when you look at your reflection?,"['You have seen your own reflection in a mirror', '   your right hand do you think the reflection will wave back with?    The same hand?    A different hand?    You will notice something interesting', '    The image in a reflection is reversed', '   Wave to your reflection with your right hand', '    The reflections are reversed', '   Where does that reflected person appear to be standing?   Yes, they appear to be on the other side of the mirror', '    The reflection waves back with A different hand?     on the same side as you, but it is their left hand', '   Have you ever waved at your reflection in a mirror?   The reflected image will wave back at you']"
291,What is similar to your reflection?,"['You have seen your own reflection in a mirror', '   your right hand do you think the reflection will wave back with?    The same hand?    A different hand?    You will notice something interesting', '    The image in a reflection is reversed', '   Wave to your reflection with your right hand', '    This is just like the image of the sign above', '    The reflections are reversed', '    The reflection waves back with A different hand?     on the same side as you, but it is their left hand', '   Have you ever waved at your reflection in a mirror?   The reflected image will wave back at you']"
292,What causes the image in a mirror reflection to be reversed?,"['You have seen your own reflection in a mirror', '    Light rays strike flat shiny surfaces and are reflected', '    The image in a reflection is reversed', '    The reflections are reversed', '    The reflection waves back with A different hand?     on the same side as you, but it is their left hand', '   Have you ever waved at your reflection in a mirror?   The reflected image will wave back at you']"
293,What tells us if ancient climates were warm or cold?,"['    Fossils can tell we if it was warm or cold', '   Fossils provide evidence', '   Was it land or marine?   Was the water shallow or deep?    Fossils can even provide clues to ancient climates', '    Maybe it was cold or hot?    Some places that are now cold were once warm', '    Some places that are now hot and dry were once wet and cool', '    Fossils provide a window into the past', '   Fossils in younger rock Fossils can also tell we about how plants and animals lived in the past', 'Many plants and animal species have lived on Earth']"
294,What purpose did fossils provide?,"['    Fossils can tell we if it was warm or cold', '   Fossils provide evidence', '    Fossils provide a window into the past', '   Fossils tell we that life on Earth has changed over time', '   Fossils in younger rock Fossils can also tell we about how plants and animals lived in the past', '   Fossils give we clues to past life on Earth', '   If not for fossils, we would know little about species that did not survive']"
295,What gives us clues to past life on Earth?,"['    Fossils can tell we if it was warm or cold', '   Fossils provide evidence', '   Was it land or marine?   Was the water shallow or deep?    Fossils can even provide clues to ancient climates', '    Fossils provide a window into the past', '   Fossils tell we that life on Earth has changed over time', '   Fossils in younger rock Fossils can also tell we about how plants and animals lived in the past', '   Fossils give we clues to past life on Earth', 'Many plants and animal species have lived on Earth']"
296,What can fossils provide evidence of?,"['    Fossils can tell we if it was warm or cold', '   Fossils provide evidence', '   Was it land or marine?   Was the water shallow or deep?    Fossils can even provide clues to ancient climates', '    Fossils provide a window into the past', '   Fossils tell we that life on Earth has changed over time', '   Fossils in younger rock Fossils can also tell we about how plants and animals lived in the past', '   Fossils give we clues to past life on Earth']"
297,What can fossils tell us?,"['    Fossils can tell we if it was warm or cold', '   Fossils provide evidence', '    Fossils provide a window into the past', '   Fossils tell we that life on Earth has changed over time', '   Fossils in younger rock Fossils can also tell we about how plants and animals lived in the past', '   Fossils give we clues to past life on Earth']"
298,What tells us that life on Earth has changed over time?,"['    Fossils can tell we if it was warm or cold', '   Fossils provide evidence', '    Maybe it was cold or hot?    Some places that are now cold were once warm', '    Some places that are now hot and dry were once wet and cool', '    Fossils provide a window into the past', '   Fossils tell we that life on Earth has changed over time', '   Fossils in younger rock Fossils can also tell we about how plants and animals lived in the past', '   Fossils give we clues to past life on Earth', '   Only a tiny number of species still live on Earth', 'Many plants and animal species have lived on Earth']"
299,What do fossils do?,"['    Fossils can tell we if it was warm or cold', '   Fossils provide evidence', '   Was it land or marine?   Was the water shallow or deep?    Fossils can even provide clues to ancient climates', '    Some places that are now hot and dry were once wet and cool', '    Maybe it was cold or hot?    Some places that are now cold were once warm', '    Fossils provide a window into the past', '   Fossils tell we that life on Earth has changed over time', '   Fossils in younger rock Fossils can also tell we about how plants and animals lived in the past', '   Fossils give we clues to past life on Earth']"
300,Which of the following information fossils provide about evolution?,"['    Fossils can tell we if it was warm or cold', '   Fossils provide evidence', '   Was it land or marine?   Was the water shallow or deep?    Fossils can even provide clues to ancient climates', '    Fossils provide a window into the past', '   Fossils tell we that life on Earth has changed over time', '   Fossils in younger rock Fossils can also tell we about how plants and animals lived in the past', '   Only a tiny number of species still live on Earth', '   Fossils give we clues to past life on Earth', '   If not for fossils, we would know little about species that did not survive']"
301,why timber is a renewable energy?,"['    We can also overuse resources that should be renewable', '   Sunlight is a renewable resource', '   An example is timber, which comes from trees', '   If were not careful, we can pollute resources', 'Renewable resources can be renewed as Renewable resources are used', '    For example, fish are renewable resources because fish can reproduce and make more fish', '   Sunlight seems we will never run out of that!   Just because a resource is renewable, Just because a resource is renewable doesn’t mean we should use Just because a resource is renewable carelessly', '   New trees can be planted to replace those that are cut down']"
302,What renewable resource can be replanted?,"['    We can also overuse resources that should be renewable', '   Sunlight is a renewable resource', '   An example is timber, which comes from trees', '    But water pollution and overfishing can cause water pollution and overfishing to die out if water pollution and overfishing population becomes too low', 'Renewable resources can be renewed as Renewable resources are used', '    For example, fish are renewable resources because fish can reproduce and make more fish', '   Sunlight seems we will never run out of that!   Just because a resource is renewable, Just because a resource is renewable doesn’t mean we should use Just because a resource is renewable carelessly', '   New trees can be planted to replace those that are cut down', '   If we pollute a water source a water source may not be usable for drinking, bathing, or any other type of use', '   Water is one example']"
